indiv smrt_Adipose_Subcutaneous_ptrs smrt_Adipose_Visceral_Omentum_ptrs smrt_Adrenal_Gland_ptrs smrt_Artery_Aorta_ptrs smrt_Artery_Coronary_ptrs smrt_Artery_Tibial_ptrs smrt_Brain_Amygdala_ptrs smrt_Brain_Anterior_cingulate_cortex_BA24_ptrs smrt_Brain_Caudate_basal_ganglia_ptrs smrt_Brain_Cerebellar_Hemisphere_ptrs smrt_Brain_Cerebellum_ptrs smrt_Brain_Cortex_ptrs smrt_Brain_Frontal_Cortex_BA9_ptrs smrt_Brain_Hippocampus_ptrs smrt_Brain_Hypothalamus_ptrs smrt_Brain_Nucleus_accumbens_basal_ganglia_ptrs smrt_Brain_Putamen_basal_ganglia_ptrs smrt_Brain_Spinal_cord_cervical_c-1_ptrs smrt_Brain_Substantia_nigra_ptrs smrt_Breast_Mammary_Tissue_ptrs smrt_Cells_Cultured_fibroblasts_ptrs smrt_Cells_EBV-transformed_lymphocytes_ptrs smrt_Colon_Sigmoid_ptrs smrt_Colon_Transverse_ptrs smrt_Esophagus_Gastroesophageal_Junction_ptrs smrt_Esophagus_Mucosa_ptrs smrt_Esophagus_Muscularis_ptrs smrt_Heart_Atrial_Appendage_ptrs smrt_Heart_Left_Ventricle_ptrs smrt_Kidney_Cortex_ptrs smrt_Liver_ptrs smrt_Lung_ptrs smrt_Minor_Salivary_Gland_ptrs smrt_Muscle_Skeletal_ptrs smrt_Nerve_Tibial_ptrs smrt_Ovary_ptrs smrt_Pancreas_ptrs smrt_Pituitary_ptrs smrt_Prostate_ptrs smrt_Skin_Not_Sun_Exposed_Suprapubic_ptrs smrt_Skin_Sun_Exposed_Lower_leg_ptrs smrt_Small_Intestine_Terminal_Ileum_ptrs smrt_Spleen_ptrs smrt_Stomach_ptrs smrt_Testis_ptrs smrt_Thyroid_ptrs smrt_Uterus_ptrs smrt_Vagina_ptrs smrt_Whole_Blood_ptrs
OM2005-RN-5676-Gordon-MEGA-Plate-07-B08_OM2005 -0.823669811644656 -0.790884423432128 -0.38569108834815 -0.74036825729024 -0.75964575807399 -0.555252420679194 -0.127101629372914 -0.20702963325487 -0.582011242143453 -0.649153756203795 -0.605963881273108 -0.623832530487129 -0.437829098086527 -0.631131890758214 -0.617301294981827 -0.572062753132174 -0.401122406532335 -0.664614060711063 -0.347743987010556 -0.856151804551554 -0.739087989041618 -0.147224931473608 -0.560993487837231 -0.692995536871385 -0.686183021300676 -0.95937187914538 -0.945428083473733 -0.511210315518496 -0.701444960120397 -0.380031126726312 -0.390313407574668 -0.67436150258641 -0.629476895493387 -0.605523025152635 -0.774328975360099 -0.378433152772122 -0.658549333406754 -0.54227939583947 -0.527691139404396 -0.773158543793188 -0.941767932136508 -0.390660180838357 -0.962091647934334 -0.826189921129278 -0.721048506020533 -1.01937803992277 -0.385932420586269 -0.484240120803873 -0.54976493424611
OM2012-RN-5676-Gordon-MEGA-Plate-09-H10_OM2012 -0.0932414921401499 0.059242588087988 -0.0543607151193156 0.0360032132920236 0.049726309339875 0.142244794715061 0.299926918452409 -0.0678224944162414 0.180663592246268 0.139277179960994 0.178890583559316 0.0152473485648288 0.0364841045950424 0.106315404419202 0.142207274720473 0.125026485418658 0.198675662240417 0.218905011501437 0.140361929120306 0.0186777787746937 -0.0481840173334581 0.333042700678146 0.317724890289131 0.0173406156753037 0.251658908572398 -0.000954794076906854 0.0089152687754025 0.071240457683529 0.129564865289876 0.0142515502580195 0.070097636178581 0.112752995367764 0.290414307354433 0.31152978322059 0.268460360960246 0.231971216697192 0.0776312897684665 -0.0509421287373906 0.0915989574588762 0.0823934667083124 -0.00890717184208521 0.180105109707561 0.00562746303851056 0.314205153995712 0.480617749726699 0.00863532853555326 0.0319883058040145 0.23703813266929 -0.137076153737791
OM2014-RN-5676-Gordon-MEGA-Plate-01-H12_OM2014 -0.67184443117728 -0.471836392765311 -0.130975042145697 -0.263480911936882 -0.333670964869392 -0.233882616367721 0.0313053378062621 -0.0646539375997225 -0.395793641676407 -0.640418658747146 -0.296009392643168 -0.114181217398527 -0.0107682543289122 -0.342805494998246 -0.478218348583892 -0.44918798285291 -0.455319952697892 -0.444138217767907 -0.516714268341335 -0.324233869662323 -0.299640316277853 -0.252591386091698 -0.22538096347891 -0.232362036388888 -0.358386544402806 -0.637774316095238 -0.467369748553794 -0.0588323379161995 -0.217473134094432 -0.270180291943999 -0.0473356739211659 -0.237274478430583 -0.3410088777038 -0.424058572641739 -0.317516009436588 -0.394408011003891 -0.27370929901691 -0.126010753784281 -0.104635269011389 -0.262276250260924 -0.64034019206785 -0.24861317834897 -0.305784338259497 -0.25440540842185 -0.346700491172748 -0.414430193331977 -0.296016760391089 -0.208439322277043 -0.121907366599789
OM2052-RN-5676-Gordon-MEGA-Plate-07-H03_OM2052 -0.0897614328988933 -0.00732476940595853 0.0668183997852327 -0.058818836891107 -0.0844520869707416 0.427713802072008 0.212492515647399 0.0588028234787216 0.0736833585130217 -0.0435679636645165 0.19078402217007 0.21070672025574 0.0341421956363364 0.116239710891086 -0.0445011467323702 -0.00950279035009088 0.0320358028164114 0.124785320802566 0.152233617554191 -0.0163865520507142 -0.201609283003541 0.335265709337179 -0.120756295445824 -0.0424312171812862 0.0785925767871434 -0.210458811111651 0.123984160221506 -0.0846915580650877 -0.158004293380019 -0.00395385426944734 0.0744949926952756 0.000999867043736766 0.154991542512567 0.220866812415015 0.123966744007448 0.102399180864821 -0.164448410908124 0.116587433978109 0.111873215543653 -0.128846464928408 -0.264635471517816 0.0540127072399291 -0.0855673528735034 0.0120246690290505 0.122400315333059 0.0642806011992053 0.102867097569706 0.0565416428417494 0.0847627304904731
OM2065-RN-5676-Gordon-MEGA-Plate-10-D05_OM2065 -0.131183473324559 -0.145912657506475 0.132128546218053 -0.049841693770605 -0.0169430435902442 0.342397964659922 0.104591828539972 0.00578118748483823 -0.0635582473793042 -0.0121169709755735 0.233998067567665 0.165175458374246 0.101399761948921 -0.0544638432589879 0.136818969774933 -0.0360080468226644 -0.160181890564585 0.00580164891719991 -0.0475807862234665 0.0716654901650974 0.140144926738213 0.4581687597832 0.184512588326822 0.244462712660918 0.336864626217521 0.00761558108508741 0.17421897411391 0.10298073769811 0.195083361553754 -0.0246159832516284 0.0919988330023487 0.160891781419902 0.233665159777043 0.246441689562395 0.193987472354168 0.19227281510144 0.0812357890227921 0.0464099403177222 0.160774642991181 0.132363084890029 -0.0971292224785195 -0.0354980546638464 0.124514910554162 0.0658352198104115 0.320263175094599 0.149609695966382 0.1043138904412 -0.0452443211651473 0.163984507505873
OM2173-RN-5676-Gordon-MEGA-Plate-19-D11_OM2173 -0.660830218502051 -0.553605750130981 -0.30526755742863 -0.32002827200931 -0.422364928030432 -0.196241223997321 -0.138887172814154 -0.151957237963147 -0.485561879347807 -0.68865075956677 -0.515638223499445 -0.480692123729816 -0.174979342045401 -0.566102478253314 -0.73630170817848 -0.749952475067735 -0.622855709833771 -0.595840578916245 -0.552087894326323 -0.466836359092556 -0.325570461131679 -0.111458487004402 -0.406008855144675 -0.396448540922177 -0.277159751883305 -0.490883943034996 -0.463628164954151 -0.421128802432926 -0.410918156987637 -0.357340163138194 -0.218290235028542 -0.464783225259661 -0.455016124728162 -0.59990080378565 -0.307284160621862 -0.283147604929789 -0.25428432977399 -0.251122740414959 -0.248461277271771 -0.121815236504547 -0.576685566870378 -0.184742179164406 -0.386980208046777 -0.607088245271359 -0.34914650579871 -0.312653682622452 -0.2885193989028 -0.289345589484022 0.0145315372140698
OM2178-RN-5676-Gordon-MEGA-Plate-11-E01_OM2178 -0.520178867984433 -0.479772514353062 -0.502680728372677 -0.448387125546437 -0.388046688081374 -0.262001969095227 -0.105230751476762 -0.423840811587301 -0.41965204698137 -0.312243320928663 -0.217034618516336 -0.427967168075382 -0.142974833497741 -0.407148325598279 -0.545475007006503 -0.475669848131932 -0.253450503441132 -0.358947060072774 -0.166243966217921 -0.565140314205796 -0.511231567387349 -0.132665547289266 -0.335648113048525 -0.431315441736441 -0.379789605424772 -0.540068647181172 -0.486309015982571 -0.389480912772151 -0.486086019009765 -0.182984087287561 -0.615204197270691 -0.646142975065453 -0.167042456187827 -0.443148239407171 -0.742902097309144 -0.1549113343493 -0.531402242182555 -0.372511826109572 -0.47769319986893 -0.655774510738325 -0.494888278432501 -0.409868088692224 -0.626081145297227 -0.377599731824168 -0.310639891643614 -0.747303650466545 -0.152892998930125 -0.149887489775039 -0.798014752012395
OM2185-RN-5676-Gordon-MEGA-Plate-15-A08_OM2185 -0.738798876116575 -0.567021894223388 -0.14857182058339 -0.364885815800291 -0.427462933732679 -0.127192930159521 0.155319691728501 -0.0387916841481169 0.021408142439046 -0.35729234879631 -0.288504928338429 -0.125326985806375 0.00671446221677285 -0.0532503211447125 -0.169400204107342 -0.165683307757809 -0.00622772968122453 -0.0965097417372386 -0.12533205466368 -0.392565354691643 -0.268357233587187 0.0565796603559065 -0.136983764482555 -0.267891859088439 -0.0814565952304591 -0.336992412058673 -0.274062599850237 -0.155064883237641 -0.277469390216489 -0.306953919621561 -0.0257530101369058 -0.183286719183492 -0.0965242085082548 -0.237939451865045 -0.190606237287048 -0.255381996200265 -0.216606156460277 -0.138695114966075 -0.00561677858195203 -0.26796351063648 -0.509588682075305 0.0162453075610016 -0.276394905647359 -0.353391857255661 0.0950272903113305 -0.389375757502989 -0.176997289503276 -0.075971432119167 -0.0272469262414099
OM2200-RN-5676-Gordon-MEGA-Plate-14-G11_OM2200 -0.205005378667468 -0.324364432448353 -0.0239953865346392 -0.289742279023859 -0.245169901126364 -0.130238961334067 0.0167695433381177 0.0267109703181032 -0.0852387093957492 -0.345558143742323 -0.150188150616169 -0.145185766500122 0.0301252899241303 -0.218698310874078 -0.298914975843323 -0.206712499046779 -0.233840050860298 -0.379485243383829 -0.352419365660171 -0.278056619792256 -0.295704681331523 0.0409999431638374 -0.173581367990607 -0.127585824063592 -0.117767717936337 -0.40349210974464 -0.233776408963663 -0.29761237592274 -0.227876912204624 -0.119232878066591 -0.127049169822315 -0.13168145552332 -0.101577986055904 -0.0746843334585388 -0.27016000727323 0.0784627333382537 -0.251952835632097 -0.175280529381548 -0.161031052071098 -0.182186273300345 -0.286805881033404 -0.242540981320118 -0.308498592975218 -0.143569012980372 -0.0309243210539788 -0.449135025849386 0.040638610951539 -0.138487133648616 -0.10488107947251
OM2224-RN-5676-Gordon-MEGA-Plate-15-E02_OM2224 -0.718024713703199 -0.597132825195732 -0.443895385885956 -0.497699763932708 -0.0933581520318766 -0.121652757645236 -0.128543345954362 -0.405688518418117 -0.516273294335499 -0.555431970315979 -0.122099197532185 -0.446231210220042 -0.444017245996089 -0.71004916606015 -0.683540547496747 -0.622268318251957 -1.13214593405073 -0.765085371459943 -0.560182220394023 -0.590230056932114 -0.359978557992483 -0.0517699369081319 -0.239312226978046 -0.268448819950612 -0.315848373322598 -0.540082846876255 -0.529986852358986 -0.284825032715294 -0.448902098448159 -0.204860977587322 -0.458077697395042 -0.409539197092922 -0.237555247754805 -0.159670537332243 -0.415468329159941 -0.174844405561274 -0.479299726066049 -0.30614581990296 -0.257617226130946 -0.572622635617721 -0.66806702217517 -0.0709749609667902 -0.47540525275195 -0.276376713340368 -0.256925427805098 -0.802449265896581 -0.247771376054632 -0.0525570401514061 -0.616914339725246
OM2235-RN-5676-Gordon-MEGA-Plate-12-A12_OM2235 -1.0427748381827 -0.734681669167151 -0.28598858978876 -0.476571540310811 -0.462576930623036 -0.337523000683525 0.0336238091973909 -0.0836119491352953 -0.481939436847244 -0.665857345784235 -0.382080178080086 -0.340735681393225 -0.247582946135192 -0.581415650819174 -0.705367193050319 -0.605752435535792 -0.981385470725064 -0.692435076598586 -0.733323944521757 -0.709171752394254 -0.640237957682747 -0.330654857177336 -0.318774245466913 -0.330214385147539 -0.60198053918309 -0.804806340959227 -0.498033914632514 -0.398869115148335 -0.489465941082024 -0.41254541856013 -0.414767748369746 -0.68651369052475 -0.319190096899898 -0.554511138592967 -0.553566424294247 -0.484096452785754 -0.361583824304768 -0.238662826053784 -0.349008086989123 -0.588156950570538 -0.78337972391914 -0.238771659704452 -0.454239183437279 -0.586243797733193 -0.51973200301034 -0.605318746128249 -0.389770838081521 -0.229622454802063 -0.320693994765076
