indiv	pval_0.05
OM2005-RN-5676-Gordon-MEGA-Plate-07-B08_OM2005	-2.76024316823736
OM2012-RN-5676-Gordon-MEGA-Plate-09-H10_OM2012	1.02354750150078
OM2014-RN-5676-Gordon-MEGA-Plate-01-H12_OM2014	0.383781173439524
OM2052-RN-5676-Gordon-MEGA-Plate-07-H03_OM2052	-2.43081900303855
OM2065-RN-5676-Gordon-MEGA-Plate-10-D05_OM2065	-0.160657911668303
OM2173-RN-5676-Gordon-MEGA-Plate-19-D11_OM2173	4.23665833417409
OM2178-RN-5676-Gordon-MEGA-Plate-11-E01_OM2178	-2.02390640226531
OM2185-RN-5676-Gordon-MEGA-Plate-15-A08_OM2185	2.13550003556373
OM2200-RN-5676-Gordon-MEGA-Plate-14-G11_OM2200	-2.42733029894571
OM2224-RN-5676-Gordon-MEGA-Plate-15-E02_OM2224	-2.66725600821218
OM2235-RN-5676-Gordon-MEGA-Plate-12-A12_OM2235	-3.57311651885197
OM2237-RN-5676-Gordon-MEGA-Plate-08-B05_OM2237	-2.30286973052186
OM2307-RN-5676-Gordon-MEGA-Plate-17-B12_OM2307	-2.1766884953467
OM2326-RN-5676-Gordon-MEGA-Plate-06-B08_OM2326	0.432873381967553
OM2333-RN-5676-Gordon-MEGA-Plate-02-C01_OM2333	2.66289842228816
OM2351-RN-5676-Gordon-MEGA-Plate-12-C08_OM2351	-2.09393781018002
OM2407-RN-5676-Gordon-MEGA-Plate-06-G12_OM2407	-0.385725227296752
OM2410-RN-5676-Gordon-MEGA-Plate-15-A06_OM2410	-0.573648877175102
OM2415-RN-5676-Gordon-MEGA-Plate-05-B11_OM2415	-1.84839738483948
OM2417-RN-5676-Gordon-MEGA-Plate-10-H07_OM2417	-0.794060563072381
OM2422-RN-5676-Gordon-MEGA-Plate-07-H08_OM2422	0.365904561267231
OM2423-RN-5676-Gordon-MEGA-Plate-11-A10_OM2423	-0.783804707962795
OM2425-RN-5676-Gordon-MEGA-Plate-14-D09_OM2425	0.0186813525190296
OM2427-RN-5676-Gordon-MEGA-Plate-15-C02_OM2427	-0.620839043243967
OM2428-RN-5676-Gordon-MEGA-Plate-07-C09_OM2428	1.38646413436494
OM2429-RN-5676-Gordon-MEGA-Plate-02-C03_OM2429	-3.47199759310216
OM2430-RN-5676-Gordon-MEGA-Plate-14-B12_OM2430	-2.20838804911928
OM2432-RN-5676-Gordon-MEGA-Plate-14-G10_OM2432	-1.23630550023357
OM2433-RN-5676-Gordon-MEGA-Plate-02-C07_OM2433	-0.859460362568305
OM2438-RN-5676-Gordon-MEGA-Plate-16-C12_OM2438	-0.648304612606326
OM2439-RN-5676-Gordon-MEGA-Plate-18-B08_OM2439	0.109700145445429
OM2440-RN-5676-Gordon-MEGA-Plate-16-F07_OM2440	0.751577099226662
OM2441-RN-5676-Gordon-MEGA-Plate-02-A07_OM2441	-3.3367609715318
OM2442-RN-5676-Gordon-MEGA-Plate-14-H06_OM2442	-1.96053674117984
OM2443-RN-5676-Gordon-MEGA-Plate-10-B10_OM2443	0.58190508518061
OM2445-RN-5676-Gordon-MEGA-Plate-11-A08_OM2445	0.281643609918589
OM2448-RN-5676-Gordon-MEGA-Plate-10-A03_OM2448	-3.86943185286413
OM2449-RN-5676-Gordon-MEGA-Plate-17-C04_OM2449	0.61110679281101
